MutationSymbol,MutationGeneID,RegulatorSymbol,RegulonRegulator,RegulatorType,Regulon,MutationRegulatorEdge,MutationRegulonEdge,SpearmanCorrelationTFAndEigenGene,RMST_diff_UnderActiveMinusOverActiveMGMTUnMeth,RMST_diff_UnderActiveMinusOverActiveMGMTMeth,Cox_HR_Training,IfCancerDriverMutation,IfDETFForTCGAGBM,IfCRISPR-Cas9SignificantTF,RNAiTFGeneEssentialityAchilles,Drug,DrugMechOfAction,TargetSymbol,DrugTarget,Miner_Target_Type,DrugTrialPhaseGBM,Cancer_PhaseIV
ATRX,ENSG00000085224,HLX,ENSG00000136630,TF,652,-1,-2.520929955,0.560775682,358.4192377,-29.88888889,2.45227828,yes,yes,#N/A,-0.017328457,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
ATRX,ENSG00000085224,CTF1,ENSG00000150281,TF,23,-1,-2.442122163,0.309729292,220.1824009,-44.80830281,2.322423627,yes,#N/A,#N/A,-0.335254042,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
ATRX,ENSG00000085224,NFIB,ENSG00000147862,TF,0,1,-2.375391584,-0.346779171,278.1590636,-76.36666667,2.376011197,yes,#N/A,yes,0.021106578,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
GPR98,,NFKB1,ENSG00000109320,TF,402,-1,-2.225406804,0.616066312,356.0760684,-11.82608696,2.446933198,,#N/A,yes,-0.032298401,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
IDH1,ENSG00000138413,THRA,ENSG00000126351,TF,4,1,-2.384368228,-0.377760894,433.3660131,91.29747899,2.567828209,yes,yes,#N/A,0.083365205,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
IDH1,ENSG00000138413,NF1,ENSG00000196712,TF,24,1,-2.353939544,-0.333435561,318.3952703,-19.6031746,2.543790594,yes,#N/A,#N/A,0.117624951,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
IDH1,ENSG00000138413,CTF1,ENSG00000150281,TF,23,-1,-2.744662685,0.309729292,220.1824009,-44.80830281,2.322423627,yes,#N/A,#N/A,-0.335254042,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
IDH1,ENSG00000138413,NFIB,ENSG00000147862,TF,0,1,-2.522357519,-0.346779171,278.1590636,-76.36666667,2.376011197,yes,#N/A,yes,0.021106578,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
MUC17,ENSG00000169876,MAFB,ENSG00000204103,TF,436,1,2.943336999,0.812814349,381.872549,79.6713352,2.470220159,,yes,#N/A,0.043239717,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
MUC17,ENSG00000169876,CEBPA,ENSG00000245848,TF,290,1,2.947923378,0.704293335,342.0358974,37.64384921,2.286965386,,yes,#N/A,-0.068933334,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
MUC17,ENSG00000169876,NFKB1,ENSG00000109320,TF,402,1,2.83206644,0.616066312,356.0760684,-11.82608696,2.446933198,,#N/A,yes,-0.032298401,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
MUC17,ENSG00000169876,HLX,ENSG00000136630,TF,652,1,2.993138216,0.560775682,358.4192377,-29.88888889,2.45227828,,yes,#N/A,-0.017328457,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
NF1,ENSG00000196712,MEF2A,ENSG00000068305,TF,480,1,2.450562045,0.494010097,353.2533386,79.89384921,2.333677379,yes,yes,#N/A,0.04207445,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
NF1,ENSG00000196712,MAFB,ENSG00000204103,TF,436,1,2.425771725,0.812814349,381.872549,79.6713352,2.470220159,yes,yes,#N/A,0.043239717,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
NF1,ENSG00000196712,CEBPA,ENSG00000245848,TF,290,1,2.404370699,0.704293335,342.0358974,37.64384921,2.286965386,yes,yes,#N/A,-0.068933334,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
NF1,ENSG00000196712,NFKB1,ENSG00000109320,TF,402,1,2.489584188,0.616066312,356.0760684,-11.82608696,2.446933198,yes,#N/A,yes,-0.032298401,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
NF1,ENSG00000196712,HLX,ENSG00000136630,TF,652,1,2.736500385,0.560775682,358.4192377,-29.88888889,2.45227828,yes,yes,#N/A,-0.017328457,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
NF1,ENSG00000196712,NFIB,ENSG00000147862,TF,0,-1,2.492709698,-0.346779171,278.1590636,-76.36666667,2.376011197,yes,#N/A,yes,0.021106578,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
TP53,ENSG00000141510,ARID5A,ENSG00000196843,TF,115,-1,-2.421952479,0.43852254,425.1428571,118.6296296,2.255335743,yes,#N/A,#N/A,0.080033004,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
TP53,ENSG00000141510,MAFB,ENSG00000204103,TF,436,-1,-2.5274087,0.812814349,381.872549,79.6713352,2.470220159,yes,yes,#N/A,0.043239717,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
TP53,ENSG00000141510,CEBPA,ENSG00000245848,TF,290,-1,-2.51682908,0.704293335,342.0358974,37.64384921,2.286965386,yes,yes,#N/A,-0.068933334,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
TP53,ENSG00000141510,NF1,ENSG00000196712,TF,24,1,-2.338541186,-0.333435561,318.3952703,-19.6031746,2.543790594,yes,#N/A,#N/A,0.117624951,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
TP53,ENSG00000141510,HLX,ENSG00000136630,TF,652,-1,-2.610546847,0.560775682,358.4192377,-29.88888889,2.45227828,yes,yes,#N/A,-0.017328457,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
TP53,ENSG00000141510,CTF1,ENSG00000150281,TF,23,-1,-2.80744841,0.309729292,220.1824009,-44.80830281,2.322423627,yes,#N/A,#N/A,-0.335254042,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
TP53,ENSG00000141510,NFIB,ENSG00000147862,TF,0,1,-2.706090372,-0.346779171,278.1590636,-76.36666667,2.376011197,yes,#N/A,yes,0.021106578,CAFFEINE,Adenosine receptor antagonist,ADORA3,ENSG00000282608,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,SOX2,ENSG00000181449,TF,549,1,-2.213351702,-0.35575208,332.8600668,98.45416667,2.534978112,,yes,#N/A,-0.076876257,DOBUTAMINE,Beta-2 adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,SOX2,ENSG00000181449,TF,549,1,-2.213351702,-0.35575208,332.8600668,98.45416667,2.534978112,,yes,#N/A,-0.076876257,EPHEDRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,SOX2,ENSG00000181449,TF,549,1,-2.213351702,-0.35575208,332.8600668,98.45416667,2.534978112,,yes,#N/A,-0.076876257,EPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,SOX2,ENSG00000181449,TF,549,1,-2.213351702,-0.35575208,332.8600668,98.45416667,2.534978112,,yes,#N/A,-0.076876257,NOREPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,SOX2,ENSG00000181449,TF,549,1,-2.213351702,-0.35575208,332.8600668,98.45416667,2.534978112,,yes,#N/A,-0.076876257,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,MEF2A,ENSG00000068305,TF,480,-1,-2.222454042,0.494010097,353.2533386,79.89384921,2.333677379,,yes,#N/A,0.04207445,DOBUTAMINE,Beta-2 adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,MEF2A,ENSG00000068305,TF,480,-1,-2.222454042,0.494010097,353.2533386,79.89384921,2.333677379,,yes,#N/A,0.04207445,EPHEDRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,MEF2A,ENSG00000068305,TF,480,-1,-2.222454042,0.494010097,353.2533386,79.89384921,2.333677379,,yes,#N/A,0.04207445,EPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,MEF2A,ENSG00000068305,TF,480,-1,-2.222454042,0.494010097,353.2533386,79.89384921,2.333677379,,yes,#N/A,0.04207445,NOREPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,MEF2A,ENSG00000068305,TF,480,-1,-2.222454042,0.494010097,353.2533386,79.89384921,2.333677379,,yes,#N/A,0.04207445,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,IRF2,ENSG00000168310,TF,700,-1,-2.224624352,0.530384164,336.4917719,79.89384921,2.422939142,,#N/A,#N/A,-0.082248802,DOBUTAMINE,Beta-2 adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,IRF2,ENSG00000168310,TF,700,-1,-2.224624352,0.530384164,336.4917719,79.89384921,2.422939142,,#N/A,#N/A,-0.082248802,EPHEDRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,IRF2,ENSG00000168310,TF,700,-1,-2.224624352,0.530384164,336.4917719,79.89384921,2.422939142,,#N/A,#N/A,-0.082248802,EPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,IRF2,ENSG00000168310,TF,700,-1,-2.224624352,0.530384164,336.4917719,79.89384921,2.422939142,,#N/A,#N/A,-0.082248802,NOREPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,IRF2,ENSG00000168310,TF,700,-1,-2.224624352,0.530384164,336.4917719,79.89384921,2.422939142,,#N/A,#N/A,-0.082248802,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,CEBPA,ENSG00000245848,TF,290,-1,-2.172328804,0.704293335,342.0358974,37.64384921,2.286965386,,yes,#N/A,-0.068933334,DOBUTAMINE,Beta-2 adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,CEBPA,ENSG00000245848,TF,290,-1,-2.172328804,0.704293335,342.0358974,37.64384921,2.286965386,,yes,#N/A,-0.068933334,EPHEDRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,CEBPA,ENSG00000245848,TF,290,-1,-2.172328804,0.704293335,342.0358974,37.64384921,2.286965386,,yes,#N/A,-0.068933334,EPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,CEBPA,ENSG00000245848,TF,290,-1,-2.172328804,0.704293335,342.0358974,37.64384921,2.286965386,,yes,#N/A,-0.068933334,NOREPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,CEBPA,ENSG00000245848,TF,290,-1,-2.172328804,0.704293335,342.0358974,37.64384921,2.286965386,,yes,#N/A,-0.068933334,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,CEBPB,ENSG00000172216,TF,457,-1,-2.196328664,0.732438516,353.0517024,-4.406926407,2.36389902,,#N/A,#N/A,-0.045695074,DOBUTAMINE,Beta-2 adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,CEBPB,ENSG00000172216,TF,457,-1,-2.196328664,0.732438516,353.0517024,-4.406926407,2.36389902,,#N/A,#N/A,-0.045695074,EPHEDRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,CEBPB,ENSG00000172216,TF,457,-1,-2.196328664,0.732438516,353.0517024,-4.406926407,2.36389902,,#N/A,#N/A,-0.045695074,EPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,CEBPB,ENSG00000172216,TF,457,-1,-2.196328664,0.732438516,353.0517024,-4.406926407,2.36389902,,#N/A,#N/A,-0.045695074,NOREPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,CEBPB,ENSG00000172216,TF,457,-1,-2.196328664,0.732438516,353.0517024,-4.406926407,2.36389902,,#N/A,#N/A,-0.045695074,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,MAF,ENSG00000178573,TF,154,-1,-2.191501875,0.626308901,336.0028045,-6.347826087,2.539916778,,#N/A,#N/A,-0.116063008,DOBUTAMINE,Beta-2 adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,MAF,ENSG00000178573,TF,154,-1,-2.191501875,0.626308901,336.0028045,-6.347826087,2.539916778,,#N/A,#N/A,-0.116063008,EPHEDRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,MAF,ENSG00000178573,TF,154,-1,-2.191501875,0.626308901,336.0028045,-6.347826087,2.539916778,,#N/A,#N/A,-0.116063008,EPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,MAF,ENSG00000178573,TF,154,-1,-2.191501875,0.626308901,336.0028045,-6.347826087,2.539916778,,#N/A,#N/A,-0.116063008,NOREPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,MAF,ENSG00000178573,TF,154,-1,-2.191501875,0.626308901,336.0028045,-6.347826087,2.539916778,,#N/A,#N/A,-0.116063008,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
AHNAK2,ENSG00000185567,SOX2,ENSG00000181449,TF,549,1,-2.213351702,-0.35575208,332.8600668,98.45416667,2.534978112,,yes,#N/A,-0.076876257,CARVEDILOL,Adrenergic receptor beta antagonist,ADRB2,ENSG00000169252,RegulonGene,Early Phase 1,#N/A
AHNAK2,ENSG00000185567,MEF2A,ENSG00000068305,TF,480,-1,-2.222454042,0.494010097,353.2533386,79.89384921,2.333677379,,yes,#N/A,0.04207445,CARVEDILOL,Adrenergic receptor beta antagonist,ADRB2,ENSG00000169252,RegulonGene,Early Phase 1,#N/A
AHNAK2,ENSG00000185567,IRF2,ENSG00000168310,TF,700,-1,-2.224624352,0.530384164,336.4917719,79.89384921,2.422939142,,#N/A,#N/A,-0.082248802,CARVEDILOL,Adrenergic receptor beta antagonist,ADRB2,ENSG00000169252,RegulonGene,Early Phase 1,#N/A
AHNAK2,ENSG00000185567,CEBPA,ENSG00000245848,TF,290,-1,-2.172328804,0.704293335,342.0358974,37.64384921,2.286965386,,yes,#N/A,-0.068933334,CARVEDILOL,Adrenergic receptor beta antagonist,ADRB2,ENSG00000169252,RegulonGene,Early Phase 1,#N/A
AHNAK2,ENSG00000185567,CEBPB,ENSG00000172216,TF,457,-1,-2.196328664,0.732438516,353.0517024,-4.406926407,2.36389902,,#N/A,#N/A,-0.045695074,CARVEDILOL,Adrenergic receptor beta antagonist,ADRB2,ENSG00000169252,RegulonGene,Early Phase 1,#N/A
AHNAK2,ENSG00000185567,MAF,ENSG00000178573,TF,154,-1,-2.191501875,0.626308901,336.0028045,-6.347826087,2.539916778,,#N/A,#N/A,-0.116063008,CARVEDILOL,Adrenergic receptor beta antagonist,ADRB2,ENSG00000169252,RegulonGene,Early Phase 1,#N/A
ATRX,ENSG00000085224,SOX2,ENSG00000181449,TF,549,1,-2.25647884,-0.35575208,332.8600668,98.45416667,2.534978112,yes,yes,#N/A,-0.076876257,DOBUTAMINE,Beta-2 adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
ATRX,ENSG00000085224,SOX2,ENSG00000181449,TF,549,1,-2.25647884,-0.35575208,332.8600668,98.45416667,2.534978112,yes,yes,#N/A,-0.076876257,EPHEDRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
ATRX,ENSG00000085224,SOX2,ENSG00000181449,TF,549,1,-2.25647884,-0.35575208,332.8600668,98.45416667,2.534978112,yes,yes,#N/A,-0.076876257,EPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
ATRX,ENSG00000085224,SOX2,ENSG00000181449,TF,549,1,-2.25647884,-0.35575208,332.8600668,98.45416667,2.534978112,yes,yes,#N/A,-0.076876257,NOREPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
ATRX,ENSG00000085224,SOX2,ENSG00000181449,TF,549,1,-2.25647884,-0.35575208,332.8600668,98.45416667,2.534978112,yes,yes,#N/A,-0.076876257,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
ATRX,ENSG00000085224,PRDM1,ENSG00000057657,TF,98,-1,-2.175541046,0.49130241,312.5467328,67.51289683,2.499389643,yes,#N/A,#N/A,-0.198188755,DOBUTAMINE,Beta-2 adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
ATRX,ENSG00000085224,PRDM1,ENSG00000057657,TF,98,-1,-2.175541046,0.49130241,312.5467328,67.51289683,2.499389643,yes,#N/A,#N/A,-0.198188755,EPHEDRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
ATRX,ENSG00000085224,PRDM1,ENSG00000057657,TF,98,-1,-2.175541046,0.49130241,312.5467328,67.51289683,2.499389643,yes,#N/A,#N/A,-0.198188755,EPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
ATRX,ENSG00000085224,PRDM1,ENSG00000057657,TF,98,-1,-2.175541046,0.49130241,312.5467328,67.51289683,2.499389643,yes,#N/A,#N/A,-0.198188755,NOREPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
ATRX,ENSG00000085224,PRDM1,ENSG00000057657,TF,98,-1,-2.175541046,0.49130241,312.5467328,67.51289683,2.499389643,yes,#N/A,#N/A,-0.198188755,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
ATRX,ENSG00000085224,STAT3,ENSG00000168610,TF,378,-1,-2.566289742,0.511500194,388.2571429,48.74810606,2.714444967,yes,yes,yes,-0.009695219,DOBUTAMINE,Beta-2 adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
ATRX,ENSG00000085224,STAT3,ENSG00000168610,TF,378,-1,-2.566289742,0.511500194,388.2571429,48.74810606,2.714444967,yes,yes,yes,-0.009695219,EPHEDRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
ATRX,ENSG00000085224,STAT3,ENSG00000168610,TF,378,-1,-2.566289742,0.511500194,388.2571429,48.74810606,2.714444967,yes,yes,yes,-0.009695219,EPINEPHRINE,Adrenergic receptor agonist,ADRB2,ENSG00000169252,RegulonGene,#N/A,AntiCancerPhaseIV
