MutationSymbol,MutationGeneID,RegulatorType,MutationRegulatorEdge,MutationRegulonEdge,SpearmanCorrelationTFAndEigenGene,RMST_diff_UnderActiveMinusOverActiveMGMTUnMeth,RMST_diff_UnderActiveMinusOverActiveMGMTMeth,Cox_HR_Training,IfCancerDriverMutation,IfDETFForTCGAGBM,IfCRISPR-Cas9SignificantTF,RNAiTFGeneEssentialityAchilles,Drug,DrugMechOfAction,Miner_Target_Type,DrugTrialPhaseGBM,Cancer_PhaseIV,DrugTargetAll,DrugRegulonAll,DrugRegulonOverActive,DrugRegulonUnderActive,DrugProgramAll,DrugProgramOverActive,DrugProgramUnderActive
TP53,ENSG00000141510,TF,-1,-2.494837325,0.60606359,341.0974359,50.74810606,2.403942114,yes,yes,yes,0.100724844,EPHEDRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.494837325,0.60606359,341.0974359,50.74810606,2.403942114,yes,yes,yes,0.100724844,EPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.494837325,0.60606359,341.0974359,50.74810606,2.403942114,yes,yes,yes,0.100724844,NOREPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.494837325,0.60606359,341.0974359,50.74810606,2.403942114,yes,yes,yes,0.100724844,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.774021,0.511500194,388.2571429,48.74810606,2.714444967,yes,yes,yes,-0.009695219,DOBUTAMINE,Beta-2 adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.774021,0.511500194,388.2571429,48.74810606,2.714444967,yes,yes,yes,-0.009695219,EPHEDRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.774021,0.511500194,388.2571429,48.74810606,2.714444967,yes,yes,yes,-0.009695219,EPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.774021,0.511500194,388.2571429,48.74810606,2.714444967,yes,yes,yes,-0.009695219,NOREPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.774021,0.511500194,388.2571429,48.74810606,2.714444967,yes,yes,yes,-0.009695219,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.51682908,0.704293335,342.0358974,37.64384921,2.286965386,yes,yes,#N/A,-0.068933334,DOBUTAMINE,Beta-2 adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.51682908,0.704293335,342.0358974,37.64384921,2.286965386,yes,yes,#N/A,-0.068933334,EPHEDRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.51682908,0.704293335,342.0358974,37.64384921,2.286965386,yes,yes,#N/A,-0.068933334,EPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.51682908,0.704293335,342.0358974,37.64384921,2.286965386,yes,yes,#N/A,-0.068933334,NOREPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.51682908,0.704293335,342.0358974,37.64384921,2.286965386,yes,yes,#N/A,-0.068933334,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.638430282,0.732438516,353.0517024,-4.406926407,2.36389902,yes,#N/A,#N/A,-0.045695074,DOBUTAMINE,Beta-2 adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.638430282,0.732438516,353.0517024,-4.406926407,2.36389902,yes,#N/A,#N/A,-0.045695074,EPHEDRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.638430282,0.732438516,353.0517024,-4.406926407,2.36389902,yes,#N/A,#N/A,-0.045695074,EPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.638430282,0.732438516,353.0517024,-4.406926407,2.36389902,yes,#N/A,#N/A,-0.045695074,NOREPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.638430282,0.732438516,353.0517024,-4.406926407,2.36389902,yes,#N/A,#N/A,-0.045695074,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.628142723,0.626308901,336.0028045,-6.347826087,2.539916778,yes,#N/A,#N/A,-0.116063008,DOBUTAMINE,Beta-2 adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.628142723,0.626308901,336.0028045,-6.347826087,2.539916778,yes,#N/A,#N/A,-0.116063008,EPHEDRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.628142723,0.626308901,336.0028045,-6.347826087,2.539916778,yes,#N/A,#N/A,-0.116063008,EPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.628142723,0.626308901,336.0028045,-6.347826087,2.539916778,yes,#N/A,#N/A,-0.116063008,NOREPINEPHRINE,Adrenergic receptor agonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.628142723,0.626308901,336.0028045,-6.347826087,2.539916778,yes,#N/A,#N/A,-0.116063008,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,RegulonGene,#N/A,AntiCancerPhaseIV,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.526007423,0.530384164,336.4917719,79.89384921,2.422939142,yes,#N/A,#N/A,-0.082248802,CARVEDILOL,Adrenergic receptor beta antagonist,RegulonGene,Early Phase 1,#N/A,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.684596666,0.631754842,405.1296453,52.22539683,2.390289227,yes,#N/A,#N/A,0.069499965,CARVEDILOL,Adrenergic receptor beta antagonist,RegulonGene,Early Phase 1,#N/A,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.494837325,0.60606359,341.0974359,50.74810606,2.403942114,yes,yes,yes,0.100724844,CARVEDILOL,Adrenergic receptor beta antagonist,RegulonGene,Early Phase 1,#N/A,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.774021,0.511500194,388.2571429,48.74810606,2.714444967,yes,yes,yes,-0.009695219,CARVEDILOL,Adrenergic receptor beta antagonist,RegulonGene,Early Phase 1,#N/A,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.51682908,0.704293335,342.0358974,37.64384921,2.286965386,yes,yes,#N/A,-0.068933334,CARVEDILOL,Adrenergic receptor beta antagonist,RegulonGene,Early Phase 1,#N/A,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.638430282,0.732438516,353.0517024,-4.406926407,2.36389902,yes,#N/A,#N/A,-0.045695074,CARVEDILOL,Adrenergic receptor beta antagonist,RegulonGene,Early Phase 1,#N/A,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.628142723,0.626308901,336.0028045,-6.347826087,2.539916778,yes,#N/A,#N/A,-0.116063008,CARVEDILOL,Adrenergic receptor beta antagonist,RegulonGene,Early Phase 1,#N/A,ADRB2,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,"34,59,98,154,290,378,402,457,480,536,549,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.224624352,0.530384164,336.4917719,79.89384921,2.422939142,NA,#N/A,#N/A,-0.082248802,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.172241043,0.812814349,381.872549,79.6713352,2.470220159,NA,yes,#N/A,0.043239717,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.2800512,0.744643209,370.3002588,56.47537879,2.688672947,NA,#N/A,yes,-0.056906531,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
AHNAK2,ENSG00000185567,TF,-1,-2.196328664,0.732438516,353.0517024,-4.406926407,2.36389902,NA,#N/A,#N/A,-0.045695074,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
ATRX,ENSG00000085224,TF,1,-2.592200444,-0.377760894,433.3660131,91.29747899,2.567828209,yes,yes,#N/A,0.083365205,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
ATRX,ENSG00000085224,TF,-1,-2.175541046,0.49130241,312.5467328,67.51289683,2.499389643,yes,#N/A,#N/A,-0.198188755,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
GPR98,NA,TF,-1,-2.195501565,0.49130241,312.5467328,67.51289683,2.499389643,NA,#N/A,#N/A,-0.198188755,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
GPR98,NA,TF,-1,-2.204320774,0.316741107,341.9055331,22.15873016,2.715738925,NA,yes,#N/A,NA,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
IDH1,ENSG00000138413,TF,1,-2.384368228,-0.377760894,433.3660131,91.29747899,2.567828209,yes,yes,#N/A,0.083365205,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
IDH1,ENSG00000138413,TF,-1,-2.248093013,0.49130241,312.5467328,67.51289683,2.499389643,yes,#N/A,#N/A,-0.198188755,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
MUC17,ENSG00000169876,TF,1,2.943336999,0.812814349,381.872549,79.6713352,2.470220159,NA,yes,#N/A,0.043239717,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
MUC17,ENSG00000169876,TF,1,3.093016173,0.744643209,370.3002588,56.47537879,2.688672947,NA,#N/A,yes,-0.056906531,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
MUC17,ENSG00000169876,TF,1,3.019814499,0.631754842,405.1296453,52.22539683,2.390289227,NA,#N/A,#N/A,0.069499965,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
MUC17,ENSG00000169876,TF,1,2.863266617,0.60606359,341.0974359,50.74810606,2.403942114,NA,yes,yes,0.100724844,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
MUC17,ENSG00000169876,TF,1,2.869876094,0.732438516,353.0517024,-4.406926407,2.36389902,NA,#N/A,#N/A,-0.045695074,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
NF1,ENSG00000196712,TF,1,2.425771725,0.812814349,381.872549,79.6713352,2.470220159,yes,yes,#N/A,0.043239717,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
NF1,ENSG00000196712,TF,1,2.574187494,0.49130241,312.5467328,67.51289683,2.499389643,yes,#N/A,#N/A,-0.198188755,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
NF1,ENSG00000196712,TF,1,2.90631442,0.744643209,370.3002588,56.47537879,2.688672947,yes,#N/A,yes,-0.056906531,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
NF1,ENSG00000196712,TF,1,2.613402251,0.631754842,405.1296453,52.22539683,2.390289227,yes,#N/A,#N/A,0.069499965,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
NF1,ENSG00000196712,TF,1,2.555485767,0.316741107,341.9055331,22.15873016,2.715738925,yes,yes,#N/A,NA,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
NF1,ENSG00000196712,TF,1,2.430445551,0.732438516,353.0517024,-4.406926407,2.36389902,yes,#N/A,#N/A,-0.045695074,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.526007423,0.530384164,336.4917719,79.89384921,2.422939142,yes,#N/A,#N/A,-0.082248802,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.5274087,0.812814349,381.872549,79.6713352,2.470220159,yes,yes,#N/A,0.043239717,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.61507796,0.744643209,370.3002588,56.47537879,2.688672947,yes,#N/A,yes,-0.056906531,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.684596666,0.631754842,405.1296453,52.22539683,2.390289227,yes,#N/A,#N/A,0.069499965,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.494837325,0.60606359,341.0974359,50.74810606,2.403942114,yes,yes,yes,0.100724844,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
TP53,ENSG00000141510,TF,-1,-2.638430282,0.732438516,353.0517024,-4.406926407,2.36389902,yes,#N/A,#N/A,-0.045695074,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,RegulonGene,Phase 1,AntiCancerPhaseIV,BTK,"4,34,98,436,457,536,623,700,787",NA,"4,34,98,436,457,536,623,700,787",2,NA,2
ATRX,ENSG00000085224,TF,-1,-5.283671066,0.490108127,282.0390396,138.2222222,2.717098111,yes,yes,#N/A,-0.147069167,TOPIRAMATE,Carbonic anhydrase II inhibitor,RegulonGene,#N/A,AntiCancerPhaseIV,"CA2,GABRA3,GRIA2,SCN3A,SCN5A,SCN9A","329,405,411,432,943,1096,1100,1153,1178,1503,1638,1939,1977,2031,2106,2158","329,405,1096,1153,1638,1939,1977,2031,2106",NA,"5,30,48,73,77,81,91,126,133","48,73,77,81,91",5
ATRX,ENSG00000085224,TF,-1,-5.726907249,0.368665976,183.3639731,72.05128205,2.683935064,yes,#N/A,#N/A,-0.02197661,TOPIRAMATE,Carbonic anhydrase II inhibitor,RegulonGene,#N/A,AntiCancerPhaseIV,"CA2,GABRA3,GRIA2,SCN3A,SCN5A,SCN9A","329,405,411,432,943,1096,1100,1153,1178,1503,1638,1939,1977,2031,2106,2158","329,405,1096,1153,1638,1939,1977,2031,2106",NA,"5,30,48,73,77,81,91,126,133","48,73,77,81,91",5
ATRX,ENSG00000085224,TF,-1,-6.124032141,0.337342603,200.3497778,40.96904762,2.732273465,yes,#N/A,#N/A,-0.112566588,TOPIRAMATE,Carbonic anhydrase II inhibitor,RegulonGene,#N/A,AntiCancerPhaseIV,"CA2,GABRA3,GRIA2,SCN3A,SCN5A,SCN9A","329,405,411,432,943,1096,1100,1153,1178,1503,1638,1939,1977,2031,2106,2158","329,405,1096,1153,1638,1939,1977,2031,2106",NA,"5,30,48,73,77,81,91,126,133","48,73,77,81,91",5
ATRX,ENSG00000085224,miRNA,1,-5.765024776,-0.424987379,183.3639731,72.05128205,2.683935064,yes,#N/A,#N/A,NA,TOPIRAMATE,Carbonic anhydrase II inhibitor,RegulonGene,#N/A,AntiCancerPhaseIV,"CA2,GABRA3,GRIA2,SCN3A,SCN5A,SCN9A","329,405,411,432,943,1096,1100,1153,1178,1503,1638,1939,1977,2031,2106,2158","329,405,1096,1153,1638,1939,1977,2031,2106",NA,"5,30,48,73,77,81,91,126,133","48,73,77,81,91",5
IDH1,ENSG00000138413,TF,-1,-7.644356643,0.438395898,302.5435897,293.9666667,3.081648636,yes,#N/A,yes,-0.032298401,TOPIRAMATE,Carbonic anhydrase II inhibitor,RegulonGene,#N/A,AntiCancerPhaseIV,"CA2,GABRA3,GRIA2,SCN3A,SCN5A,SCN9A","329,405,411,432,943,1096,1100,1153,1178,1503,1638,1939,1977,2031,2106,2158","329,405,1096,1153,1638,1939,1977,2031,2106",NA,"5,30,48,73,77,81,91,126,133","48,73,77,81,91",5
IDH1,ENSG00000138413,TF,-1,-7.304272808,0.490108127,282.0390396,138.2222222,2.717098111,yes,yes,#N/A,-0.147069167,TOPIRAMATE,Carbonic anhydrase II inhibitor,RegulonGene,#N/A,AntiCancerPhaseIV,"CA2,GABRA3,GRIA2,SCN3A,SCN5A,SCN9A","329,405,411,432,943,1096,1100,1153,1178,1503,1638,1939,1977,2031,2106,2158","329,405,1096,1153,1638,1939,1977,2031,2106",NA,"5,30,48,73,77,81,91,126,133","48,73,77,81,91",5
IDH1,ENSG00000138413,TF,-1,-8.153350511,0.368665976,183.3639731,72.05128205,2.683935064,yes,#N/A,#N/A,-0.02197661,TOPIRAMATE,Carbonic anhydrase II inhibitor,RegulonGene,#N/A,AntiCancerPhaseIV,"CA2,GABRA3,GRIA2,SCN3A,SCN5A,SCN9A","329,405,411,432,943,1096,1100,1153,1178,1503,1638,1939,1977,2031,2106,2158","329,405,1096,1153,1638,1939,1977,2031,2106",NA,"5,30,48,73,77,81,91,126,133","48,73,77,81,91",5
IDH1,ENSG00000138413,TF,-1,-7.881164458,0.337342603,200.3497778,40.96904762,2.732273465,yes,#N/A,#N/A,-0.112566588,TOPIRAMATE,Carbonic anhydrase II inhibitor,RegulonGene,#N/A,AntiCancerPhaseIV,"CA2,GABRA3,GRIA2,SCN3A,SCN5A,SCN9A","329,405,411,432,943,1096,1100,1153,1178,1503,1638,1939,1977,2031,2106,2158","329,405,1096,1153,1638,1939,1977,2031,2106",NA,"5,30,48,73,77,81,91,126,133","48,73,77,81,91",5
LRP2,ENSG00000081479,miRNA,-1,2.178853063,-0.437853739,237.0271012,150.8555556,2.864949507,NA,#N/A,#N/A,NA,TOPIRAMATE,Carbonic anhydrase II inhibitor,RegulonGene,#N/A,AntiCancerPhaseIV,"CA2,GABRA3,GRIA2,SCN3A,SCN5A,SCN9A","329,405,411,432,943,1096,1100,1153,1178,1503,1638,1939,1977,2031,2106,2158","329,405,1096,1153,1638,1939,1977,2031,2106",NA,"5,30,48,73,77,81,91,126,133","48,73,77,81,91",5
SEMA3C,ENSG00000075223,TF,-1,-3.697758686,0.368665976,183.3639731,72.05128205,2.683935064,NA,#N/A,#N/A,-0.02197661,TOPIRAMATE,Carbonic anhydrase II inhibitor,RegulonGene,#N/A,AntiCancerPhaseIV,"CA2,GABRA3,GRIA2,SCN3A,SCN5A,SCN9A","329,405,411,432,943,1096,1100,1153,1178,1503,1638,1939,1977,2031,2106,2158","329,405,1096,1153,1638,1939,1977,2031,2106",NA,"5,30,48,73,77,81,91,126,133","48,73,77,81,91",5
SEMA3C,ENSG00000075223,TF,1,-3.909553681,-0.312140047,254.502439,-80.17482517,2.386896437,NA,#N/A,#N/A,-0.016930102,TOPIRAMATE,Carbonic anhydrase II inhibitor,RegulonGene,#N/A,AntiCancerPhaseIV,"CA2,GABRA3,GRIA2,SCN3A,SCN5A,SCN9A","329,405,411,432,943,1096,1100,1153,1178,1503,1638,1939,1977,2031,2106,2158","329,405,1096,1153,1638,1939,1977,2031,2106",NA,"5,30,48,73,77,81,91,126,133","48,73,77,81,91",5
TP53,ENSG00000141510,TF,-1,-6.248205922,0.368665976,183.3639731,72.05128205,2.683935064,yes,#N/A,#N/A,-0.02197661,TOPIRAMATE,Carbonic anhydrase II inhibitor,RegulonGene,#N/A,AntiCancerPhaseIV,"CA2,GABRA3,GRIA2,SCN3A,SCN5A,SCN9A","329,405,411,432,943,1096,1100,1153,1178,1503,1638,1939,1977,2031,2106,2158","329,405,1096,1153,1638,1939,1977,2031,2106",NA,"5,30,48,73,77,81,91,126,133","48,73,77,81,91",5
