PCA_1VarRembrandtWithinCoherentMembers,PCA_1RandomPValRembrandtWithinCoherentMembers,PCA_1RandomPValNonMemberRembrandtWithinCoherentMembers,PCA_1VarFrenchWithinCoherentMembers,PCA_1RandomPValFrenchWithinCoherentMembers,PCA_1RandomPValNonMemberFrenchWithinCoherentMembers,PCA_1VarIvyAtlasWithinCoherentMembers,PCA_1RandomPValIvyAtlasWithinCoherentMembers,PCA_1RandomPValNonMemberIvyAtlasWithinCoherentMembers,PCA_1VarGSE7696WithinCoherentMembers,PCA_1RandomPValGSE7696WithinCoherentMembers,PCA_1RandomPValNonMemberGSE7696WithinCoherentMembers,PCA_1VarTrainingWithinCoherentMembers,PCA_1RandomPValTrainingWithinCoherentMembers,PCA_1RandomPValNonMemberTrainingWithinCoherentMembers,Mutation,MutationType,RegulatorType,MutationReg_pvalWithinCoherentMembers,MutationEigenGene_pvalWithinCoherentMembers,MutationEigenGene_tstatWithinCoherentMembers,Fraction_of_edges_correctly_aligned,MutationReg_Pval_allPatients,MutationEigenGenePValAllPatients,Cox-HRFrench,Cox-p-valueFrench,Cox-HRGSE7696,Cox-p-valueGSE7696,Cox-HRRembrandt,Cox-p-valueRembrandt,Cox_HR_Training,Cox-p-value-training,SelfSufficiencyInGrowthSignals,InsensitivityToAntigrowthSignals,EvadingApoptosis,LimitlessReplicativePotential,SustainedAngiogenesis,TissueInvasionAndMetastasis,GenomeInstabilityAndMutation,TumorPromotingInflammation,ReprogrammingEnergyMetabolism,EvadingImmuneDetection,MutationRegulatorEdge,RegulonType,SpearmanCorrelationEigenGeneWithinCoherentMembers,SpearmanCorrelationPValEigenGeneWithinCoherentMembers,MutationEigenGene_tstat_allPatients,MutationSymbol,Regulator,RegulatorSymbol,Regulon_ID,MutationGeneID,RNAiTFGeneEssentialityAchilles,RMST_diff_InActiveOrDownRegMinusActiveMGMTUnMeth
0.762293011,0.001996008,0.001996008,0.794242405,0.001996008,0.001996008,0.758163342,0.001996008,0.001996008,0.767197158,0.001996008,0.001996008,0.73011921,0.001996008,0.001996008,EGFR_code_potential_somatic,SomaticGeneMain,TF,0.578411428,0.159126484,-1.429371046,1,0.022060933,0.000198731,-6.527240676,6.70E-11,-1.16207778,0.245203872,-5.735002683,9.75E-09,-2.440188642,0.014679594,,,,,,,,,,,-1,SignificantCoxHR,0.647913901,4.19E-32,-3.79990008,EGFR,ENSG00000112242,E2F3,943,ENSG00000146648,-0.212169935,-257.2074549
0.762293011,0.001996008,0.001996008,0.794242405,0.001996008,0.001996008,0.758163342,0.001996008,0.001996008,0.767197158,0.001996008,0.001996008,0.73011921,0.001996008,0.001996008,IDH1_code_potential_somatic,SomaticGeneMain,TF,0.762664179,0.619689701,0.524987066,1,0.00443832,1.32E-08,-6.527240676,6.70E-11,-1.16207778,0.245203872,-5.735002683,9.75E-09,-2.440188642,0.014679594,,,,,,,,,,,1,SignificantCoxHR,0.647913901,4.19E-32,9.941010032,IDH1,ENSG00000112242,E2F3,943,ENSG00000138413,-0.212169935,-257.2074549
0.762293011,0.001996008,0.001996008,0.794242405,0.001996008,0.001996008,0.758163342,0.001996008,0.001996008,0.767197158,0.001996008,0.001996008,0.73011921,0.001996008,0.001996008,ATRX_code_potential_somatic,SomaticGene,TF,0.000229797,3.53E-11,9.860951282,1,0.00664008,0.000223969,-6.527240676,6.70E-11,-1.16207778,0.245203872,-5.735002683,9.75E-09,-2.440188642,0.014679594,,,,,,,,,,,1,SignificantCoxHR,0.647913901,4.19E-32,4.884845517,ATRX,ENSG00000112242,E2F3,943,ENSG00000085224,-0.212169935,-257.2074549
0.762293011,0.001996008,0.001996008,0.794242405,0.001996008,0.001996008,0.758163342,0.001996008,0.001996008,0.767197158,0.001996008,0.001996008,0.73011921,0.001996008,0.001996008,TP53_code_potential_somatic,SomaticGeneMain,TF,0.455328167,0.865971968,-0.169382404,1,3.66E-06,0.000193909,-6.527240676,6.70E-11,-1.16207778,0.245203872,-5.735002683,9.75E-09,-2.440188642,0.014679594,,,,,,,,,,,1,SignificantCoxHR,0.647913901,4.19E-32,3.862670451,TP53,ENSG00000112242,E2F3,943,ENSG00000141510,-0.212169935,-257.2074549
0.72056189,0.001996008,0.001996008,0.709793127,0.001996008,0.001996008,0.707978233,0.001996008,0.001996008,0.644641739,0.001996008,0.001996008,0.721285268,0.001996008,0.001996008,TP53_code_potential_somatic,SomaticGeneMain,TF,0.0082002,0.206772937,1.292120184,1,0.019708212,0.001396399,6.010839351,1.85E-09,0.779801098,0.43550796,1.672111014,0.094502433,3.185817037,0.001443459,,,,,,,,,,,-1,SignificantCoxHR,0.40405959,1.41E-08,-3.273396556,TP53,ENSG00000170345,FOS,3405,ENSG00000141510,-0.210476483,165.5992414
0.785078149,0.001996008,0.001996008,0.806272999,0.001996008,0.001996008,0.793589731,0.001996008,0.001996008,0.634244429,0.001996008,0.001996008,0.75490351,0.001996008,0.001996008,TP53_code_potential_somatic,SomaticGeneMain,TF,0.598843523,0.446668654,-0.766415245,1,0.019708212,7.05E-05,7.540285673,4.69E-14,-0.676654699,0.498625065,3.822242861,0.000132243,3.443357822,0.000574539,,,,,,,,,,,-1,SignificantCoxHR,0.50429715,6.02E-15,-4.098851049,TP53,ENSG00000170345,FOS,3404,ENSG00000141510,-0.210476483,246.38107
0.673824391,0.001996008,0.001996008,0.620767797,0.001996008,0.001996008,0.565507306,0.001996008,0.001996008,0.805959063,0.001996008,0.005988024,0.532542985,0.001996008,0.001996008,IDH1_code_potential_somatic,SomaticGeneMain,TF,0.525088939,0.764121306,-0.342299017,0.882352941,0.000354232,2.61E-05,7.554898878,4.19E-14,0.366016996,0.714352394,5.874135218,4.25E-09,3.556010705,0.000376529,,,,,,,,,,,-1,SignificantCoxHR,0.395463171,2.12E-08,-5.997395483,IDH1,ENSG00000177606,JUN,245,ENSG00000138413,-0.209271379,221.4258102
0.673824391,0.001996008,0.001996008,0.620767797,0.001996008,0.001996008,0.565507306,0.001996008,0.001996008,0.805959063,0.001996008,0.005988024,0.532542985,0.001996008,0.001996008,ATRX_code_potential_somatic,SomaticGene,TF,0.759507016,0.000229802,-6.823779612,0.875,0.00657987,0.000963794,7.554898878,4.19E-14,0.366016996,0.714352394,5.874135218,4.25E-09,3.556010705,0.000376529,,,,,,,,,,,-1,SignificantCoxHR,0.395463171,2.12E-08,-4.139912642,ATRX,ENSG00000177606,JUN,245,ENSG00000085224,-0.209271379,221.4258102
0.673824391,0.001996008,0.001996008,0.620767797,0.001996008,0.001996008,0.565507306,0.001996008,0.001996008,0.805959063,0.001996008,0.005988024,0.532542985,0.001996008,0.001996008,NF1_code_potential_somatic,SomaticGeneMain,TF,0.176962904,0.628444161,0.525197299,0.866666667,0.026663492,0.018418784,7.554898878,4.19E-14,0.366016996,0.714352394,5.874135218,4.25E-09,3.556010705,0.000376529,,,,,,,,,,,1,SignificantCoxHR,0.395463171,2.12E-08,2.500531788,NF1,ENSG00000177606,JUN,245,ENSG00000196712,-0.209271379,221.4258102
0.704535135,0.001996008,0.001996008,0.678165809,0.001996008,0.001996008,0.652392676,0.001996008,0.001996008,0.618570523,0.001996008,0.001996008,0.647962561,0.001996008,0.001996008,IDH1_code_potential_somatic,SomaticGeneMain,TF,0.644141005,0.265369969,-1.204832145,0.882352941,0.000354232,1.11E-06,7.457009306,8.85E-14,0.161098014,0.872016204,6.64926989,2.95E-11,3.02647356,0.002474245,,,,,,,,,,,-1,SignificantCoxHR,0.395884498,2.16E-14,-7.582305187,IDH1,ENSG00000177606,JUN,239,ENSG00000138413,-0.209271379,93.96294422
0.704535135,0.001996008,0.001996008,0.678165809,0.001996008,0.001996008,0.652392676,0.001996008,0.001996008,0.618570523,0.001996008,0.001996008,0.647962561,0.001996008,0.001996008,SEMA3C_code_potential_somatic,SomaticGene,TF,0.134753907,3.05E-06,-7.02507271,1,0.018588412,0.031965269,7.457009306,8.85E-14,0.161098014,0.872016204,6.64926989,2.95E-11,3.02647356,0.002474245,,,,,,,,,,,-1,SignificantCoxHR,0.395884498,2.16E-14,-2.38983879,SEMA3C,ENSG00000177606,JUN,239,ENSG00000075223,-0.209271379,93.96294422
0.704535135,0.001996008,0.001996008,0.678165809,0.001996008,0.001996008,0.652392676,0.001996008,0.001996008,0.618570523,0.001996008,0.001996008,0.647962561,0.001996008,0.001996008,ATRX_code_potential_somatic,SomaticGene,TF,0.405638237,8.55E-07,-8.308396624,0.875,0.00657987,0.000103201,7.457009306,8.85E-14,0.161098014,0.872016204,6.64926989,2.95E-11,3.02647356,0.002474245,,,,,,,,,,,-1,SignificantCoxHR,0.395884498,2.16E-14,-5.208622801,ATRX,ENSG00000177606,JUN,239,ENSG00000085224,-0.209271379,93.96294422
0.704535135,0.001996008,0.001996008,0.678165809,0.001996008,0.001996008,0.652392676,0.001996008,0.001996008,0.618570523,0.001996008,0.001996008,0.647962561,0.001996008,0.001996008,TP53_code_potential_somatic,SomaticGeneMain,TF,0.871112756,0.425902994,-0.801570329,1,0.001446702,0.000383809,7.457009306,8.85E-14,0.161098014,0.872016204,6.64926989,2.95E-11,3.02647356,0.002474245,,,,,,,,,,,-1,SignificantCoxHR,0.395884498,2.16E-14,-3.662143835,TP53,ENSG00000177606,JUN,239,ENSG00000141510,-0.209271379,93.96294422
0.704535135,0.001996008,0.001996008,0.678165809,0.001996008,0.001996008,0.652392676,0.001996008,0.001996008,0.618570523,0.001996008,0.001996008,0.647962561,0.001996008,0.001996008,NF1_code_potential_somatic,SomaticGeneMain,TF,0.167251519,0.940840209,0.076261409,0.866666667,0.026663492,5.37E-06,7.457009306,8.85E-14,0.161098014,0.872016204,6.64926989,2.95E-11,3.02647356,0.002474245,,,,,,,,,,,1,SignificantCoxHR,0.395884498,2.16E-14,5.381983392,NF1,ENSG00000177606,JUN,239,ENSG00000196712,-0.209271379,93.96294422
0.778694297,0.001996008,0.001996008,0.748667358,0.001996008,0.001996008,0.768444289,0.001996008,0.001996008,0.743210724,0.001996008,0.013972056,0.746387186,0.001996008,0.001996008,IDH1_code_potential_somatic,SomaticGeneMain,TF,0.841877577,0.605113392,-0.548953199,0.882352941,0.000354232,0.000172192,4.85763212,1.19E-06,-0.74735353,0.454850188,5.303003753,1.14E-07,2.139867767,0.032365455,0,0,0,0,0,1,0,0,0,0,-1,SignificantCoxHRAndCancerHallmarkAssociation,0.403122458,5.92E-13,-4.718147324,IDH1,ENSG00000177606,JUN,244,ENSG00000138413,-0.209271379,50.47171656
0.778694297,0.001996008,0.001996008,0.748667358,0.001996008,0.001996008,0.768444289,0.001996008,0.001996008,0.743210724,0.001996008,0.013972056,0.746387186,0.001996008,0.001996008,ATRX_code_potential_somatic,SomaticGene,TF,0.193250682,0.00309816,-4.480151209,0.875,0.00657987,0.001212944,4.85763212,1.19E-06,-0.74735353,0.454850188,5.303003753,1.14E-07,2.139867767,0.032365455,0,0,0,0,0,1,0,0,0,0,-1,SignificantCoxHRAndCancerHallmarkAssociation,0.403122458,5.92E-13,-3.85634994,ATRX,ENSG00000177606,JUN,244,ENSG00000085224,-0.209271379,50.47171656
0.778694297,0.001996008,0.001996008,0.748667358,0.001996008,0.001996008,0.768444289,0.001996008,0.001996008,0.743210724,0.001996008,0.013972056,0.746387186,0.001996008,0.001996008,NF1_code_potential_somatic,SomaticGeneMain,TF,0.11425565,0.638909601,-0.489126907,0.866666667,0.026663492,0.000674093,4.85763212,1.19E-06,-0.74735353,0.454850188,5.303003753,1.14E-07,2.139867767,0.032365455,0,0,0,0,0,1,0,0,0,0,1,SignificantCoxHRAndCancerHallmarkAssociation,0.403122458,5.92E-13,3.795915133,NF1,ENSG00000177606,JUN,244,ENSG00000196712,-0.209271379,50.47171656
0.778694297,0.001996008,0.001996008,0.748667358,0.001996008,0.001996008,0.768444289,0.001996008,0.001996008,0.743210724,0.001996008,0.013972056,0.746387186,0.001996008,0.001996008,GPR98_code_potential_somatic,SomaticGene,TF,0.779031975,0.092396958,-2.086375174,0.833333333,0.038477961,0.003581863,4.85763212,1.19E-06,-0.74735353,0.454850188,5.303003753,1.14E-07,2.139867767,0.032365455,0,0,0,0,0,1,0,0,0,0,-1,SignificantCoxHRAndCancerHallmarkAssociation,0.403122458,5.92E-13,-3.482814798,GPR98,ENSG00000177606,JUN,244,#N/A,-0.209271379,50.47171656
0.797722672,0.001996008,0.001996008,0.75299127,0.001996008,0.001996008,0.781328327,0.001996008,0.001996008,0.837837532,0.001996008,0.001996008,0.781019069,0.001996008,0.001996008,TP53_code_potential_somatic,SomaticGeneMain,TF,0.392400381,0.579349156,-0.556249789,1,0.001446702,0.002208315,4.572259238,4.82E-06,-1.551670532,0.120741077,5.675292489,1.38E-08,2.47606728,0.013283854,,,,,,,,,,,-1,SignificantCoxHR,0.467972103,6.29E-19,-3.117787927,TP53,ENSG00000177606,JUN,252,ENSG00000141510,-0.209271379,93.80626984
0.797722672,0.001996008,0.001996008,0.75299127,0.001996008,0.001996008,0.781328327,0.001996008,0.001996008,0.837837532,0.001996008,0.001996008,0.781019069,0.001996008,0.001996008,SIGNALING_EVENTS_MEDIATED_BY_FOCAL_ADHESION_KINASE,SomaticPathway,TF,0.012709745,0.073188279,1.861537983,1,0.030602339,0.026002548,4.572259238,4.82E-06,-1.551670532,0.120741077,5.675292489,1.38E-08,2.47606728,0.013283854,,,,,,,,,,,1,SignificantCoxHR,0.467972103,6.29E-19,2.304330418,SIGNALING,ENSG00000177606,JUN,252,#N/A,-0.209271379,93.80626984
0.797722672,0.001996008,0.001996008,0.75299127,0.001996008,0.001996008,0.781328327,0.001996008,0.001996008,0.837837532,0.001996008,0.001996008,0.781019069,0.001996008,0.001996008,GPR98_code_potential_somatic,SomaticGene,TF,0.332564604,0.016311951,-2.932424873,0.833333333,0.038477961,0.026198654,4.572259238,4.82E-06,-1.551670532,0.120741077,5.675292489,1.38E-08,2.47606728,0.013283854,,,,,,,,,,,-1,SignificantCoxHR,0.467972103,6.29E-19,-2.533111769,GPR98,ENSG00000177606,JUN,252,#N/A,-0.209271379,93.80626984
0.732354902,0.001996008,0.001996008,0.796773437,0.001996008,0.001996008,0.639019433,0.001996008,0.001996008,0.749691933,0.001996008,0.001996008,0.689597521,0.001996008,0.001996008,IDH1_code_potential_somatic,SomaticGeneMain,TF,0.524919774,0.480892641,-0.770844602,0.882352941,0.000354232,3.76E-07,8.078292737,6.57E-16,1.375331301,0.169028757,6.642611971,3.08E-11,3.022878823,0.002503825,,,,,,,,,,,-1,SignificantCoxHR,0.483656847,5.45E-10,-8.715107637,IDH1,ENSG00000177606,JUN,257,ENSG00000138413,-0.209271379,164.7461786
